tbca_code,nutrient_slug,amount
BRC0001D,calcium,0
BRC0001D,iron,0.01
BRC0001D,potassium,0
BRC0001D,magnesium,0
BRC0001D,zinc,0
BRC0001D,phosphorus,0
BRC0001D,copper,0
BRC0001D,selenium,0
BRC0001D,cholesterol,0
BRC0001D,saturated-fat,43.1
BRC0001D,monounsaturated-fat,40.1
BRC0001D,polyunsaturated-fat,16.6
BRC0001D,vitamin-a,0
BRC0001D,vitamin-c,0
BRC0001D,vitamin-e,15.9
BRC0001D,thiamine,0.1
BRC0001D,riboflavin,0
BRC0001D,niacin,5.86
BRC0001D,vitamin-b6,0
BRC0001D,vitamin-b12,0
BRC0001D,folate,0
BRC0002D,calcium,0
BRC0002D,iron,0.01
BRC0002D,potassium,0
BRC0002D,magnesium,0
BRC0002D,zinc,0
BRC0002D,phosphorus,0
BRC0002D,copper,0
BRC0002D,selenium,0
BRC0002D,cholesterol,0
BRC0002D,saturated-fat,14.9
BRC0002D,monounsaturated-fat,75.5
BRC0002D,polyunsaturated-fat,9.5
BRC0002D,vitamin-a,0
BRC0002D,vitamin-c,0
BRC0002D,vitamin-d,0
BRC0002D,vitamin-e,18.4
BRC0002D,thiamine,0
BRC0002D,riboflavin,0
BRC0002D,niacin,0
BRC0002D,vitamin-b6,0
BRC0002D,vitamin-b12,0
BRC0002D,folate,0
BRC0003D,calcium,0
BRC0003D,iron,0
BRC0003D,potassium,0
BRC0003D,magnesium,0
BRC0003D,zinc,0
BRC0003D,phosphorus,0
BRC0003D,copper,0
BRC0003D,selenium,0
BRC0003D,cholesterol,0
BRC0003D,saturated-fat,50.9
BRC0003D,monounsaturated-fat,18.6
BRC0003D,polyunsaturated-fat,30.2
BRC0003D,vitamin-a,0
BRC0003D,vitamin-c,0
BRC0003D,vitamin-e,35.3
BRC0003D,thiamine,0
BRC0003D,riboflavin,0
BRC0003D,niacin,0
BRC0003D,vitamin-b6,0
BRC0003D,vitamin-b12,0
BRC0003D,folate,0
BRC0004D,calcium,5.78
BRC0004D,iron,0.08
BRC0004D,potassium,9.99
BRC0004D,magnesium,1.45
BRC0004D,zinc,0
BRC0004D,phosphorus,17.4
BRC0004D,manganese,0
BRC0004D,copper,0.02
BRC0004D,cholesterol,147
BRC0004D,saturated-fat,44.9
BRC0004D,monounsaturated-fat,21.2
BRC0004D,polyunsaturated-fat,1.35
BRC0004D,vitamin-c,0
BRC0004D,vitamin-d,0
BRC0004D,vitamin-e,2.13
BRC0004D,thiamine,0
BRC0004D,riboflavin,0
BRC0004D,niacin,0
BRC0004D,vitamin-b6,0
BRC0004D,vitamin-b12,0.16
BRC0004D,folate,2.79
BRC0005D,calcium,4.3
BRC0005D,iron,0
BRC0005D,potassium,8.69
BRC0005D,magnesium,0.86
BRC0005D,zinc,0
BRC0005D,phosphorus,16.3
BRC0005D,manganese,0
BRC0005D,copper,0
BRC0005D,cholesterol,114
BRC0005D,saturated-fat,28
BRC0005D,monounsaturated-fat,11.6
BRC0005D,polyunsaturated-fat,0.68
BRC0005D,vitamin-c,0
BRC0005D,vitamin-d,0
BRC0005D,vitamin-e,1.34
BRC0005D,thiamine,0
BRC0005D,riboflavin,0
BRC0005D,niacin,0
BRC0005D,vitamin-b6,0
BRC0005D,vitamin-b12,0.1
BRC0005D,folate,1.81
BRC0006D,calcium,3.61
BRC0006D,iron,0
BRC0006D,potassium,5.2
BRC0006D,magnesium,1.43
BRC0006D,zinc,0
BRC0006D,phosphorus,7.07
BRC0006D,manganese,0
BRC0006D,copper,0.04
BRC0006D,selenium,1.05
BRC0006D,cholesterol,213
BRC0006D,saturated-fat,51.5
BRC0006D,monounsaturated-fat,21.9
BRC0006D,polyunsaturated-fat,1.5
BRC0006D,vitamin-a,1027
BRC0006D,vitamin-c,0
BRC0006D,vitamin-d,0
BRC0006D,vitamin-e,2.46
BRC0006D,thiamine,0
BRC0006D,riboflavin,0
BRC0006D,niacin,0
BRC0006D,vitamin-b6,0
BRC0006D,vitamin-b12,0.18
BRC0006D,folate,3.16
BRC0007D,calcium,9.42
BRC0007D,iron,0.15
BRC0007D,potassium,14.8
BRC0007D,magnesium,1.47
BRC0007D,zinc,0
BRC0007D,phosphorus,27.7
BRC0007D,manganese,0
BRC0007D,copper,0
BRC0007D,selenium,1.01
BRC0007D,cholesterol,200
BRC0007D,saturated-fat,49.2
BRC0007D,monounsaturated-fat,20.4
BRC0007D,polyunsaturated-fat,1.2
BRC0007D,vitamin-a,936
BRC0007D,vitamin-c,0
BRC0007D,vitamin-d,0
BRC0007D,vitamin-e,2.36
BRC0007D,thiamine,0
BRC0007D,riboflavin,0
BRC0007D,niacin,0
BRC0007D,vitamin-b6,0
BRC0007D,vitamin-b12,0.17
BRC0007D,folate,3.01
BRC0008D,calcium,4.42
BRC0008D,iron,0.07
BRC0008D,potassium,10.7
BRC0008D,magnesium,1.01
BRC0008D,zinc,0
BRC0008D,phosphorus,6.03
BRC0008D,manganese,0
BRC0008D,copper,0
BRC0008D,cholesterol,0
BRC0008D,saturated-fat,19.2
BRC0008D,monounsaturated-fat,15.9
BRC0008D,polyunsaturated-fat,25.2
BRC0008D,vitamin-a,465
BRC0008D,vitamin-c,0
BRC0008D,vitamin-d,0
BRC0008D,vitamin-e,5.66
