tbca_code,name,category,kcal,protein_g,carbs_g,fat_g,fiber_g,sodium_mg
BRC0001D,"Azeite, dendê, Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0002D,"Azeite, oliva, Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0003D,"Gordura, vegetal, hidrogenada, Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0004D,"Manteiga (média várias amostras, c/ e s/ sal), Brasil","Gorduras e óleos",673,0.39,0.52,74.4,0,324
BRC0005D,"Manteiga, levemente salgada, light, Brasil","Gorduras e óleos",427,0.12,1.21,46.9,0,390
BRC0006D,"Manteiga, s/ sal, Brasil","Gorduras e óleos",775,0.4,0,86,0,3.85
BRC0007D,"Manteiga, c/ sal, Brasil","Gorduras e óleos",743,0.52,0,82.3,0,578
BRC0008D,"Margarina (média várias amostras, c/ e s/ sal), Brasil","Gorduras e óleos",640,0,0,71.1,0,813
BRC0009D,"Margarina, c/ sal, Brasil","Gorduras e óleos",540,0,0,60,0,711
BRC0010D,"Margarina, c/ óleo hidrogenado (65% lipídeos), c/ sal, Brasil","Gorduras e óleos",606,0,0,67.4,0,894
BRC0011D,"Margarina, c/ óleo hidrogenado (80% lipídeos), s/ sal, Brasil","Gorduras e óleos",735,0,0,81.7,0,77.9
BRC0012D,"Margarina, c/ óleo interesterificado (65% lipídeos), c/ sal, Brasil","Gorduras e óleos",603,0,0,67.1,0,33.2
BRC0013D,"Margarina, c/ óleo interesterificado (65% lipídeos), s/ sal, Brasil","Gorduras e óleos",603,0,0,67.1,0,33.2
BRC0014D,"Manteiga e margarina, c/ sal, Brasil","Gorduras e óleos",720,0.15,0,80,0,1200
BRC0015D,"Manteiga e margarina, s/ sal, Brasil","Gorduras e óleos",720,0.15,0,80,0,26.7
BRC0016D,"Margarina, c/ leite, c/ sal, Brasil","Gorduras e óleos",552,1.3,1.9,60,0,1000
BRC0017D,"Margarina, c/ leite, s/ sal, Brasil","Gorduras e óleos",552,1.3,1.9,60,0,0
BRC0018D,"Manteiga, cacau, Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0019D,"Óleo, abacate, Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0020D,"Óleo, algodão, Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0021D,"Óleo, amendoim, Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0022D,"Óleo, arroz, Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0023D,"Óleo, babaçu","Gorduras e óleos",900,0,0,100,0,0
BRC0024D,"Óleo, canola, Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0025D,"Óleo, composto (85% soja, 15% oliva), Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0026D,"Óleo, cação, fígado (média de diferentes amostras), Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0027D,"Óleo, girassol, Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0028D,"Óleo, milho, Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0029D,"Óleo, cobertura, sardinha enlatada (média de diferentes amostras), Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0030D,"Óleo, soja, Brasil","Gorduras e óleos",900,0,0,100,0,0
BRC0031D,"Maionese, molho, c/ ovos, industrializado, Brasil","Gorduras e óleos",308,0.58,7.9,30.5,0,786
BRC0032D,"Patê (média de diferentes sabores), Brasil","Gorduras e óleos",225,8.65,2.79,19.9,0,1378
BRC0033D,"Patê, peito de peru, defumado, vidro, Brasil","Gorduras e óleos",223,7.66,2.73,20.2,0,828
BRC0034D,"Patê, presunto, vidro, Brasil","Gorduras e óleos",226,9.63,2.85,19.7,0,983
BRC0001U,"Amêndoa, torrada, c/ sal, Brasil","Nozes e sementes",615,20.6,10.7,52,11.1,277
BRC0002U,"Caju, castanha, torrada, c/ sal, Brasil","Nozes e sementes",616,20.7,20,49.6,4.09,125
BRC0003U,"Castanha do Brasil, crua, Brasil","Nozes e sementes",673,14.5,7.15,63.5,7.93,0.4
BRC0017U,"Babaçu, mesocarpo, farinha, crua, Brasil","Nozes e sementes",288,1.41,61.3,0.2,17.9,12.5
BRC0016U,"Gergelim, semente, crua, Brasil","Nozes e sementes",601,21.2,9.75,50.4,11.9,2.58
BRC0006U,"Linhaça, semente, Brasil","Nozes e sementes",452,14.1,9.81,32.3,33.5,8.67
BRC0007U,"Pinhão, cozido, s/ sal, Brasil","Nozes e sementes",175,3.15,33.1,1,10.7,0.86
BRC0008U,"Pupunha (palmito), fruto, cozido, s/ óleo, s/ sal, Brasil","Nozes e sementes",212,2.59,29,8.14,6.39,0.32
BRC0009U,"Noz, crua, Brasil","Nozes e sementes",649,14,11.1,59.4,7.25,4.57
BRC0010U,"Coquetel de frutas secas, s/ casca, s/ sal, Brasil","Nozes e sementes",539,19.6,44.6,31.2,1,365
BRC0011U,"Amêndoa, crua, s/ sal, Brasil","Nozes e sementes",595,21.2,9.04,49.9,12.5,1
BRC0012U,"Castanha de caju, crua, s/ sal, Brasil","Nozes e sementes",581,18.2,26.9,43.9,3.3,12
BRC0013U,"Avelã , crua, s/ sal (dado importado)","Nozes e sementes",673,15,8.2,62.4,9.4,0
BRC0014U,"Macadâmia, crua, s/ sal (dado importado)","Nozes e sementes",751,7.91,5.22,75.8,8.6,5
